adapter,cost_usd,design,detected_defect_ids,f1,false_positive_clusters,false_positives,group,input_tokens,kind,latency_seconds_serial_sum,model,output_tokens,packet,possible_defects,precision,provider_index,recall,repeat,set_id,true_findings_per_1k_output_tokens,true_findings_per_dollar,true_positives,wrapper
pi,0.0,provider_pair,WH-02|WH-03|WH-05|WH-06|WH-07,0.7142857142857143,expensive_lookup_query_costs_and_latency,1,pi:fictional,805,final,17.81662870803848,gemma-4-31b-it,578,03-webhook-redesign,8,0.8333333333333334,0,0.625,7,s-126f402871103a57,8.650519031141869,,5,fictional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:fictional,804,final,19.768516874988563,gemma-4-31b-it,642,03-webhook-redesign,8,1.0,0,0.875,3,s-cd000c1638df598e,10.903426791277258,,7,fictional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-04|RD-05,0.7692307692307693,,0,pi:functional,967,final,15.722250375081785,gemma-4-31b-it,503,01-revenue-dashboard,8,1.0,0,0.625,5,s-6b4673285a6b3e32,9.940357852882704,,5,functional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:functional,799,final,18.428221917012706,gemma-4-31b-it,600,03-webhook-redesign,8,1.0,0,0.875,1,s-099364b668aa19e8,11.666666666666666,,7,functional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05|KR-06,0.7692307692307693,,0,pi:functional,793,final,15.517989290994592,gemma-4-31b-it,495,02-key-rotation,8,1.0,0,0.625,8,s-6d0a35d56b6732f0,10.1010101010101,,5,functional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-04|RD-05|RD-07,0.8571428571428571,,0,pi:fictional,975,final,16.736090791993774,gemma-4-31b-it,541,01-revenue-dashboard,8,1.0,0,0.75,3,s-00f99471917e1a1b,11.090573012939002,,6,fictional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:functional,799,final,19.27286745805759,gemma-4-31b-it,624,03-webhook-redesign,8,1.0,0,0.875,2,s-a01b1559383fe9a6,11.217948717948717,,7,functional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:functional,796,final,20.084181166952476,gemma-4-31b-it,659,03-webhook-redesign,8,1.0,0,0.875,9,s-2d0552a79be3e623,10.622154779969652,,7,functional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:fictional,805,final,19.659285499947146,gemma-4-31b-it,638,03-webhook-redesign,8,1.0,0,0.875,1,s-0aceaf5fc3048ae3,10.9717868338558,,7,fictional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:fictional,804,final,18.594704790972173,gemma-4-31b-it,611,03-webhook-redesign,8,1.0,0,0.875,5,s-3d1e7f1df4e54a59,11.456628477905074,,7,fictional
pi,0.0,provider_pair,KR-02|KR-04|KR-05|KR-06,0.6666666666666666,,0,pi:fictional,797,final,12.449474875000305,gemma-4-31b-it,390,02-key-rotation,8,1.0,0,0.5,0,s-4ce79d43c271a90c,10.256410256410257,,4,fictional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-04|RD-05,0.7692307692307693,,0,pi:fictional,973,final,15.094445791910402,gemma-4-31b-it,475,01-revenue-dashboard,8,1.0,0,0.625,9,s-92b12c7d7f604117,10.526315789473685,,5,fictional
pi,0.0,provider_pair,RD-01|RD-02|RD-03,0.4615384615384615,group_by_mutable_email|superset_bypass_cube_contract,2,pi:fictional,973,final,14.739020124892704,gemma-4-31b-it,468,01-revenue-dashboard,8,0.6,0,0.375,4,s-d79542b71c32a2a4,6.410256410256411,,3,fictional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-05|RD-07,0.7692307692307693,,0,pi:functional,968,final,14.895000291988254,gemma-4-31b-it,481,01-revenue-dashboard,8,1.0,0,0.625,2,s-ef7b0d309515cc99,10.395010395010395,,5,functional
pi,0.0,provider_pair,RD-01|RD-03|RD-04|RD-05,0.6153846153846154,non_sargable_where_clause_preventing_partition_pruning,1,pi:fictional,972,final,14.66479979106225,gemma-4-31b-it,472,01-revenue-dashboard,8,0.8,0,0.5,7,s-8a7ce55b20d80f27,8.474576271186441,,4,fictional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:fictional,804,final,19.06410145899281,gemma-4-31b-it,626,03-webhook-redesign,8,1.0,0,0.875,8,s-c83372d05ce57c90,11.182108626198083,,7,fictional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:fictional,797,final,12.343949540983886,gemma-4-31b-it,387,02-key-rotation,8,1.0,0,0.5,6,s-32f78d792a1549d8,10.335917312661499,,4,fictional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-05,0.6666666666666666,,0,pi:fictional,973,final,12.645577999996021,gemma-4-31b-it,390,01-revenue-dashboard,8,1.0,0,0.5,5,s-a817f3667f39e90f,10.256410256410257,,4,fictional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:functional,798,final,18.438802791992202,gemma-4-31b-it,608,03-webhook-redesign,8,1.0,0,0.875,5,s-cf425b36dfc6b2fb,11.513157894736842,,7,functional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:functional,797,final,19.32872612506617,gemma-4-31b-it,647,03-webhook-redesign,8,1.0,0,0.875,6,s-c9aad528db68af01,10.819165378670789,,7,functional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:functional,791,final,10.962586666923016,gemma-4-31b-it,339,02-key-rotation,8,1.0,0,0.5,6,s-a54de9b679dfe0a0,11.799410029498524,,4,functional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:functional,791,final,10.462974790949374,gemma-4-31b-it,319,02-key-rotation,8,1.0,0,0.5,4,s-41e4be840319aa24,12.539184952978056,,4,functional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:functional,797,final,19.803115208051167,gemma-4-31b-it,635,03-webhook-redesign,8,1.0,0,0.875,4,s-89462d80ba90c99a,11.023622047244094,,7,functional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-04|RD-05|RD-07,0.8571428571428571,,0,pi:functional,968,final,17.174724583048373,gemma-4-31b-it,554,01-revenue-dashboard,8,1.0,0,0.75,3,s-8b6c1dbf6cc81f60,10.830324909747292,,6,functional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-04|RD-05,0.7692307692307693,,0,pi:functional,965,final,15.364154375041835,gemma-4-31b-it,493,01-revenue-dashboard,8,1.0,0,0.625,8,s-8d2cd2c9cf219b27,10.141987829614605,,5,functional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05|KR-06,0.7692307692307693,,0,pi:functional,793,final,15.463599832961336,gemma-4-31b-it,492,02-key-rotation,8,1.0,0,0.625,0,s-565855c2fb23d0b9,10.16260162601626,,5,functional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-05,0.6666666666666666,,0,pi:fictional,974,final,13.939624916994944,gemma-4-31b-it,437,01-revenue-dashboard,8,1.0,0,0.5,1,s-e3868e24bd3a0bd8,9.153318077803204,,4,fictional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:functional,798,final,19.45590537507087,gemma-4-31b-it,644,03-webhook-redesign,8,1.0,0,0.875,3,s-3043858fee15402b,10.869565217391305,,7,functional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:fictional,805,final,18.92664041602984,gemma-4-31b-it,630,03-webhook-redesign,8,1.0,0,0.875,4,s-751fe8be8f2ac5f2,11.11111111111111,,7,fictional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:functional,799,final,18.569187874905765,gemma-4-31b-it,619,03-webhook-redesign,8,1.0,0,0.875,7,s-32dd0b7879ab82f2,11.308562197092083,,7,functional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:fictional,805,final,19.651617916999385,gemma-4-31b-it,643,03-webhook-redesign,8,1.0,0,0.875,6,s-0fd5214ce3f4596e,10.88646967340591,,7,fictional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6153846153846154,unverified_secret_creation_before_restart,1,pi:fictional,799,final,13.598092208034359,gemma-4-31b-it,417,02-key-rotation,8,0.8,0,0.5,4,s-0a73ddaf70a13704,9.59232613908873,,4,fictional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-05|RD-07,0.7692307692307693,,0,pi:functional,967,final,15.383100749924779,gemma-4-31b-it,475,01-revenue-dashboard,8,1.0,0,0.625,1,s-74f5e4863e9d7052,10.526315789473685,,5,functional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:fictional,804,final,19.586779083008878,gemma-4-31b-it,641,03-webhook-redesign,8,1.0,0,0.875,2,s-ac469279418ab638,10.9204368174727,,7,fictional
