arm,cost_usd,design,detected_defect_ids,f1,false_positive_clusters,false_positives,group,input_tokens,kind,latency_seconds_serial_sum,output_tokens,packet,possible_defects,precision,recall,repeat,set_id,true_findings_per_1k_output_tokens,true_findings_per_dollar,true_positives
M1,0.0,stage_a,KR-01|KR-02|KR-04|KR-05|KR-06|KR-07,0.8571428571428571,,0,M1:fused,9048,fused,108.80081320682075,3424,02-key-rotation,8,1.0,0.75,0,s-d90863a96a16a9bb,1.7523364485981308,,6
M0,0.0,stage_a,WH-02|WH-03|WH-04|WH-05|WH-06|WH-07|WH-08,0.875,check_before_insert_latency_and_cost,1,M0:fused,12625,fused,192.6281431679381,6403,03-webhook-redesign,8,0.875,0.875,0,s-788041f019fc2225,1.0932375449008278,,7
M2,0.0,stage_a,RD-01|RD-02|RD-03|RD-04|RD-05|RD-06|RD-07|RD-08,0.9411764705882353,sql_pii_exposure,1,M2:raw_union,6830,raw_union,81.26396812393796,2512,01-revenue-dashboard,8,0.8888888888888888,1.0,0,s-798c1420f8868b91,3.1847133757961785,,8
M1,0.0,stage_a,KR-01|KR-02|KR-04|KR-05|KR-06|KR-07,0.7999999999999999,latest_tag_compute_network_cost,1,M1:raw_union,5555,raw_union,82.06267829088029,2525,02-key-rotation,8,0.8571428571428571,0.75,0,s-6bd3f61686e50d7b,2.376237623762376,,6
S2,0.0,stage_a,KR-02|KR-04|KR-05|KR-06|KR-07,0.7692307692307693,,0,S2:final,926,final,14.089026207919233,435,02-key-rotation,8,1.0,0.625,0,s-d15290455c1d3e91,11.494252873563218,,5
M2,0.0,stage_a,RD-01|RD-02|RD-03|RD-04|RD-05|RD-07,0.8571428571428571,,0,M2:fused,10392,fused,107.83789662399795,3399,01-revenue-dashboard,8,1.0,0.75,0,s-134169cbfa5261f0,1.7652250661959399,,6
S0,0.0,stage_a,RD-01|RD-02|RD-03|RD-04|RD-05|RD-07,0.8571428571428571,,0,S0:final,863,final,19.783974583027884,658,01-revenue-dashboard,8,1.0,0.75,0,s-dc7948f22a064716,9.118541033434651,,6
S1,0.0,stage_a,RD-01|RD-02|RD-03|RD-05|RD-07,0.7692307692307693,,0,S1:final,1098,final,16.807072499999776,553,01-revenue-dashboard,8,1.0,0.625,0,s-432cca897b86d789,9.041591320072333,,5
M1,0.0,stage_a,RD-01|RD-02|RD-03|RD-04|RD-05|RD-06|RD-07|RD-08,0.9411764705882353,incremental_materialization_preference,1,M1:raw_union,6784,raw_union,85.2838397489395,2637,01-revenue-dashboard,8,0.8888888888888888,1.0,0,s-e44ee33b4ef4b691,3.0337504740235115,,8
S2,0.0,stage_a,RD-01|RD-02|RD-03|RD-04|RD-05|RD-07,0.8571428571428571,,0,S2:final,1102,final,19.709894333034754,642,01-revenue-dashboard,8,1.0,0.75,0,s-6bb2afe99d266359,9.345794392523365,,6
M0,0.0,stage_a,RD-01|RD-02|RD-03|RD-04|RD-05|RD-07,0.8571428571428571,,0,M0:raw_union,7692,raw_union,137.82399591815192,4517,01-revenue-dashboard,8,1.0,0.75,0,s-6028d9d664d317e1,1.3283152534868274,,6
S1,0.0,stage_a,WH-02|WH-03|WH-04|WH-05|WH-06|WH-07|WH-08,0.875,expensive_pre_insert_lookup,1,S1:final,929,final,22.46069358405657,747,03-webhook-redesign,8,0.875,0.875,0,s-ff98dbfc48abd940,9.370816599732262,,7
S2,0.0,stage_a,WH-02|WH-03|WH-04|WH-05|WH-06|WH-07|WH-08,0.875,bigquery_pre_insert_check_cost_and_latency,1,S2:final,935,final,21.98219779203646,721,03-webhook-redesign,8,0.875,0.875,0,s-e7be12998863ac2e,9.70873786407767,,7
M1,0.0,stage_a,WH-01|WH-02|WH-03|WH-04|WH-05|WH-06|WH-07|WH-08,1.0,,0,M1:fused,9910,fused,136.91113866702653,4372,03-webhook-redesign,8,1.0,1.0,0,s-b592675c6c064d99,1.829826166514181,,8
S0,0.0,stage_a,WH-02|WH-03|WH-04|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,S0:final,693,final,20.511948041967116,668,03-webhook-redesign,8,1.0,0.875,0,s-d83050ea7d4f2841,10.479041916167665,,7
M2,0.0,stage_a,WH-01|WH-02|WH-03|WH-04|WH-05|WH-06|WH-07|WH-08,1.0,,0,M2:fused,9809,fused,133.49564262409694,4265,03-webhook-redesign,8,1.0,1.0,0,s-afa585069bf1de94,1.8757327080890973,,8
M0,0.0,stage_a,WH-02|WH-03|WH-04|WH-05|WH-06|WH-07|WH-08,0.875,pre_insert_select_count_query_cost_and_latency,1,M0:raw_union,6515,raw_union,155.72767962596845,5136,03-webhook-redesign,8,0.875,0.875,0,s-e3de02c3551eccbb,1.3629283489096573,,7
