arm,confidence,defect_id,design,item_id,kind,material,packet,rater,repeat,set_id
M2,high,RD-07,stage_a,i-1258bb197c1b0b4c,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M2,high,WH-06,stage_a,i-13ffa97552a62fce,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M1,high,KR-04,stage_a,i-14029b92983800ba,fused,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-38caa01ecaa31383
M0,high,KR-01,stage_a,i-1407852880cce642,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M1,medium,NONE,stage_a,i-14461ba7b228ef54,raw_union,False,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M2,high,WH-03,stage_a,i-14c2eafac6f2e3aa,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M1,high,RD-03,stage_a,i-151f43a2e2ad8e11,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M1,high,KR-01,stage_a,i-152c2d44b28fa292,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M2,high,KR-04,stage_a,i-15f69b78e919976f,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
S2,high,WH-06,stage_a,i-1644e3e05cea0c5c,final,True,03-webhook-redesign,llm:openai-codex/gpt-5.4-mini,0,s-7f09ac09c5f2d74d
M1,medium,NONE,stage_a,i-183ea72cb951789c,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M2,medium,KR-06,stage_a,i-1865ed9a2194aae6,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M2,high,KR-02,stage_a,i-18c5cc7a595f07bc,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M0,high,RD-03,stage_a,i-1a06f3dd2033a2fb,fused,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-de2f31d5b043ab4e
M0,high,KR-01,stage_a,i-1a5188c03207b4a9,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M0,high,RD-04,stage_a,i-1ade1026ac8050e1,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M0,high,WH-01,stage_a,i-1ae1856fa317b257,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M0,high,WH-06,stage_a,i-1aea8d40bbce89ca,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M2,medium,KR-06,stage_a,i-1b34d6bae799c845,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M1,medium,KR-06,stage_a,i-1b612f595a16b4b4,fused,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-38caa01ecaa31383
M2,medium,RD-01,stage_a,i-1b670ce40ea9b4f7,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M1,high,KR-04,stage_a,i-1c187d08f9b63e67,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
S1,high,KR-04,stage_a,i-1c4733a484239faf,final,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-966afc2eb1136441
M2,high,KR-05,stage_a,i-1d5b914a21b83a2f,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M2,high,WH-03,stage_a,i-1ea4a6543a9f65ff,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M0,medium,WH-08,stage_a,i-1ed3d54540e672b3,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M2,high,NONE,stage_a,i-1edd3c5a264bb75d,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M0,high,KR-06,stage_a,i-1ef8b8701c65639e,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M2,high,WH-02,stage_a,i-202f5649916faffb,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M1,high,RD-08,stage_a,i-202f73f52e3614ac,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
S0,high,WH-07,stage_a,i-20377cba9a662956,final,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-03f22d86370e646e
M1,high,WH-03,stage_a,i-20ab3b953950b9c8,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M0,high,WH-07,stage_a,i-213a2a453660463b,fused,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-ec2f900b6c1a4066
M2,medium,KR-04,stage_a,i-214eb037868a61f8,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M1,high,KR-01,stage_a,i-2240555f85854e7e,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M2,low,NONE,stage_a,i-225b7ee2b43a3342,raw_union,False,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M0,high,WH-01,stage_a,i-22902b15ae24f525,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M2,high,RD-07,stage_a,i-22bc4f47d66b3134,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M0,high,KR-06,stage_a,i-22f7342b034ba401,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M1,medium,NONE,stage_a,i-236f6d2d633b8f57,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M0,high,RD-06,stage_a,i-2476539139ec6c02,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M2,high,NONE,stage_a,i-24886323675faef7,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M1,high,WH-05,stage_a,i-25184c88e09c1582,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M2,high,RD-05,stage_a,i-254a6778b0baa06b,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M2,high,RD-07,stage_a,i-256cfdd33ea912a9,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M2,medium,NONE,stage_a,i-25982b2922e8495a,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M0,medium,KR-05,stage_a,i-25cdf62fef1ac657,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M1,high,WH-02,stage_a,i-25d1bb8c7ce50676,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M0,high,RD-01,stage_a,i-26132ab6e40c67ef,fused,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-de2f31d5b043ab4e
S0,high,WH-05,stage_a,i-2639ec364a5fc2dc,final,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-03f22d86370e646e
M1,high,WH-01,stage_a,i-26aab4872e947c31,fused,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-4993a15e174cd196
M2,high,RD-01,stage_a,i-270ef883b8fb2121,fused,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3a6e370c6bad0079
M1,high,WH-05,stage_a,i-2715e027be6e0a42,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M0,high,RD-07,stage_a,i-27e27e833c90f157,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M0,high,WH-01,stage_a,i-280762f3f47c7ae6,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M0,high,KR-06,stage_a,i-28a94fbcf04030c1,fused,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4934172b794d0601
M2,medium,KR-06,stage_a,i-28ddaf1940d64cd1,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M0,high,WH-02,stage_a,i-28f2d2669b6aec8d,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M1,medium,NONE,stage_a,i-2a6349d4d797bbb0,fused,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-73ef658e8d890307
M1,medium,KR-04,stage_a,i-2b9d51739d6d8ebe,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M2,high,KR-04,stage_a,i-2ccb519f94849636,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M1,high,KR-01,stage_a,i-2d082919c12845b8,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M1,high,RD-01,stage_a,i-2d3f8d932a29017a,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M1,medium,NONE,stage_a,i-2ed41ac251d5822a,raw_union,False,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M1,high,WH-05,stage_a,i-2f856e39b79b812a,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
S0,medium,WH-08,stage_a,i-308ef981b7e49be2,final,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-03f22d86370e646e
M2,high,WH-05,stage_a,i-312020f1649a85d5,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M2,high,WH-03,stage_a,i-315ed7ac76a99d4e,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
S0,high,WH-02,stage_a,i-321c5c6bfc70e6aa,final,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-03f22d86370e646e
M1,high,KR-04,stage_a,i-32fc406b6b3fae12,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M2,high,RD-02,stage_a,i-3365045960dc544b,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M1,high,KR-05,stage_a,i-346ff24423b4f452,fused,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-38caa01ecaa31383
M1,high,WH-03,stage_a,i-35ac1d9d7f2c53cb,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M1,high,RD-08,stage_a,i-35e8394aa7bdcf34,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M1,high,RD-06,stage_a,i-362d71d033194fd2,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M1,high,RD-02,stage_a,i-363a82c3de9a80bc,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M0,high,RD-08,stage_a,i-368dec84ab26c663,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M1,high,RD-04,stage_a,i-37a146c1bac55a03,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M0,medium,NONE,stage_a,i-381bfd9b9f2f9063,raw_union,False,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M2,medium,NONE,stage_a,i-3823527974b04762,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M2,high,NONE,stage_a,i-3983fdfdbca2b677,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M1,medium,NONE,stage_a,i-3ab18e0a6b9259e5,raw_union,False,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
S0,high,WH-06,stage_a,i-3ae4621068eed9ed,final,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-03f22d86370e646e
S0,high,WH-01,stage_a,i-3befdc64eff50782,final,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-03f22d86370e646e
M1,medium,WH-08,stage_a,i-3c8992eaeb4adb38,fused,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-4993a15e174cd196
M0,high,RD-01,stage_a,i-3cdc4150eb435523,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M1,medium,NONE,stage_a,i-3d5d2e040f4c4eeb,raw_union,False,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M2,high,RD-07,stage_a,i-3d854a78881940ea,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M2,high,RD-04,stage_a,i-3e3e9e39cb1bd573,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M2,medium,NONE,stage_a,i-3eb30b7384adf67c,raw_union,False,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M0,medium,NONE,stage_a,i-3edfedc0cee74912,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M0,high,WH-03,stage_a,i-4018e94d78d6a2ca,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M1,high,KR-01,stage_a,i-405bb9aa2c139b46,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M0,high,KR-05,stage_a,i-41578b473b1ab956,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M2,high,WH-03,stage_a,i-418e0dd9db543a93,fused,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-67b1067297e150e5
M0,medium,WH-07,stage_a,i-421da8b9dcf46d85,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M2,high,WH-03,stage_a,i-42c5cc3a4dfdfd42,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M2,medium,WH-08,stage_a,i-430bbda15f9afd4a,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M2,high,WH-01,stage_a,i-434d255a93f36f81,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M0,medium,NONE,stage_a,i-43c58600b15bc004,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M0,high,WH-01,stage_a,i-4467bfa983db396b,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
S1,medium,RD-08,stage_a,i-4475213fce842065,final,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-648846afe5069c31
M1,high,WH-03,stage_a,i-44e04f1dd739ddb4,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M0,high,RD-03,stage_a,i-467308e34718a572,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M2,high,KR-05,stage_a,i-46b4dadc608a37ac,fused,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-2079af0b2551591a
M2,high,RD-08,stage_a,i-46d85ce8e82d6466,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M1,high,WH-07,stage_a,i-48ad43dea83542f3,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
S0,high,RD-03,stage_a,i-4957dfd799ab6927,final,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-967375e4a0254714
M1,high,KR-02,stage_a,i-496185aec1aad6b8,fused,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-38caa01ecaa31383
M1,medium,WH-02,stage_a,i-49908fdc548bb476,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
S1,high,RD-04,stage_a,i-49b2c68f630cbba6,final,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-648846afe5069c31
M0,high,KR-06,stage_a,i-4a0786970d3165fe,fused,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4934172b794d0601
M1,medium,KR-06,stage_a,i-4a8a98f8d155c66c,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M0,high,RD-07,stage_a,i-4cb810815f9f00b3,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M2,high,RD-07,stage_a,i-4ce602b0d99cb766,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M0,high,KR-02,stage_a,i-4d3168d2ba5bfd7d,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M1,high,WH-07,stage_a,i-4db4c16a85229c16,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M0,high,WH-07,stage_a,i-4e00eef310bfeb96,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M2,high,RD-01,stage_a,i-4e1d65b6856ebca6,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M1,high,RD-07,stage_a,i-4ee116be71ae66df,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M2,high,WH-08,stage_a,i-4f2eabd55ec60fba,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M0,high,KR-06,stage_a,i-4f54c391823cfe59,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M0,medium,KR-06,stage_a,i-501cf9d1f837c049,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M1,high,NONE,stage_a,i-502d0620c50fa550,fused,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-73ef658e8d890307
M2,high,WH-02,stage_a,i-50ea41b21381fa10,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M2,medium,KR-06,stage_a,i-5177329383cf95ff,fused,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-2079af0b2551591a
M0,high,KR-06,stage_a,i-51878c4c2c5de3ec,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M1,high,WH-05,stage_a,i-518b6757ac5c9122,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M0,high,WH-03,stage_a,i-51d1cb2166d58ae2,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
